Title,Description,Date,Archive,Download_URL
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:The_remains_of_the_massive_Temple%27s_podium,_probably_dating_to_the_end_of_the_2nd_century_AD,_Antioch_on_the_Orontes,_Antakya,_Turkey_(36242427836).jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:The_remains_of_the_massive_Temple%27s_podium,_probably_dating_to_the_end_of_the_2nd_century_AD,_Antioch_on_the_Orontes,_Antakya,_Turkey_(36281570545).jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:The_remains_of_the_massive_Temple%27s_podium,_probably_dating_to_the_end_of_the_2nd_century_AD,_Antioch_on_the_Orontes,_Antakya,_Turkey_(36281655625).jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:The_remains_of_the_massive_Temple%27s_podium,_probably_dating_to_the_end_of_the_2nd_century_AD,_Antioch_on_the_Orontes,_Antakya,_Turkey_(36281809495).jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Tomb_in_Antioch_(9293961499).jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Tour-Antioche-Etude_sur_les_monuments-Rey.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Young_Folks%27_History_of_Rome_illus329.png
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Zenobia_lead_token.png
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Zwart-witfoto_van_een_bewaard_gebleven_heerweg_bij_Antiochi%C3%AB,_Syri%C3%AB,_asset_l1HIOkAQeRHAaZLekLjCQaBJ.tif"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:%D0%90%D0%BD%D1%82%D0%B8%D0%BE%D1%85%D0%B8%D1%8F_1_(%D0%91%D0%AD%D0%90%D0%9D).png
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/120px-Flag_of_Turkey.svg.png
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Turkey_%28orthographic_projection%29.svg/120px-Turkey_%28orthographic_projection%29.svg.png
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Didyma_Map.jpg
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Karahantepe1.jpg
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Karahantepe2.jpg
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Karahantepe3.jpg
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Karahantepe4.jpg
Category:Archaeological sites in Turkey - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Karahantepe5.jpg
